Common_Name,Sci_Name,Links
African Elephant,Loxodonta africana,https:/www.worldwildlife.org/species/african-elephant
African forest elephant,,https://www.worldwildlife.org//species/african-forest-elephant
African savanna elephant,Loxodonta africana africana,https://www.worldwildlife.org//species/african-savanna-elephant
African Wild Dog,Lycaon pictus,https://www.worldwildlife.org//species/african-wild-dog
Albacore Tuna,Thunnus alalunga,https://www.worldwildlife.org//species/albacore-tuna
Amazon River Dolphin,Scientific Name Inia geoffrensis,https://www.worldwildlife.org//species/amazon-river-dolphin
Amur Leopard,Panthera pardus orientalis,https://www.worldwildlife.org//species/amur-leopard
Arctic Fox,Vulpes lagopus,https://www.worldwildlife.org//species/arctic-fox
Arctic Wolf,Canis lupus arctos,https://www.worldwildlife.org//species/arctic-wolf
Asian Elephant,Elephas maximus indicus,https://www.worldwildlife.org//species/asian-elephant
Beluga,Delphinapterus leucas,https://www.worldwildlife.org//species/beluga
Bigeye Tuna,Thunnus obesus,https://www.worldwildlife.org//species/bigeye-tuna
Black Rhino,Diceros bicornis,https://www.worldwildlife.org//species/black-rhino
Black Spider Monkey,Ateles paniscus,https://www.worldwildlife.org//species/black-spider-monkey
Black-footed Ferret,Mustela nigripes,https://www.worldwildlife.org//species/black-footed-ferret
Blue Whale,Balaenoptera musculus,https://www.worldwildlife.org//species/blue-whale
Bluefin Tuna,Thunnus Thynnus,https://www.worldwildlife.org//species/bluefin-tuna
Bonobo,Pan paniscus,https://www.worldwildlife.org//species/bonobo
Bornean Elephant,Elephas maximus borneensis,https://www.worldwildlife.org//species/bornean-elephant
Bornean Orangutan,Pongo pygmaeus,https://www.worldwildlife.org//species/bornean-orangutan
Bowhead Whale,Balaena mysticetus,https://www.worldwildlife.org//species/bowhead-whale
Brown Bear,Ursus arctos,https://www.worldwildlife.org//species/brown-bear
Chimpanzee,Pan troglodytes,https://www.worldwildlife.org//species/chimpanzee
Common Bottlenose Dolphin,Tursiops truncates,https://www.worldwildlife.org//species/common-bottlenose-dolphin
Continental Tiger,Panthera tigris tigris,https://www.worldwildlife.org//species/continental-tiger
Cross River Gorilla,Gorilla gorilla diehli,https://www.worldwildlife.org//species/cross-river-gorilla
Dolphins and Porpoises,,https://www.worldwildlife.org//species/dolphins-and-porpoises
Dugong,Dugong dugon,https://www.worldwildlife.org//species/dugong
Eastern Lowland Gorilla,Gorilla beringei graueri,https://www.worldwildlife.org//species/eastern-lowland-gorilla
Elephant,,https://www.worldwildlife.org//species/elephant
Fin Whale,Balaenoptera physalus,https://www.worldwildlife.org//species/fin-whale
Galápagos Penguin,Spheniscus mendiculus,https://www.worldwildlife.org//species/galapagos-penguin
Ganges River Dolphin,Platanista gangetica gangetica,https://www.worldwildlife.org//species/ganges-river-dolphin
Giant Panda,Ailuropoda melanoleuca,https://www.worldwildlife.org//species/giant-panda
Giant Tortoise,,https://www.worldwildlife.org//species/giant-tortoise
Gorilla,Gorilla gorilla and Gorilla beringei,https://www.worldwildlife.org//species/gorilla
Gray Whale,Eschrichtius robustus,https://www.worldwildlife.org//species/gray-whale
Great White Shark,Carcharodon carcharias,https://www.worldwildlife.org//species/great-white-shark
Greater One-Horned Rhino,Rhinoceros unicornis,https://www.worldwildlife.org//species/greater-one-horned-rhino
Greater Sage-Grouse,Centrocercus urophasianus,https://www.worldwildlife.org//species/greater-sage-grouse
Green Turtle,Chelonia mydas,https://www.worldwildlife.org//species/green-turtle
Hawksbill Turtle,Eretmochelys imbricata,https://www.worldwildlife.org//species/hawksbill-turtle
Hector's Dolphin,Cephalorhynchus hectori,https://www.worldwildlife.org//species/hector-s-dolphin
Hippopotamus,Hippopotamus amphibius,https://www.worldwildlife.org//species/hippopotamus
Humphead Wrasse,Cheilinus undulatus,https://www.worldwildlife.org//species/humphead-wrasse
Indian Elephant,Elephas maximus indicus,https://www.worldwildlife.org//species/indian-elephant
