Common_Name,Status,Population,Sci_Name,Height,Weight,Length,Habitats,Description,Image_URL,Threats
African Elephant,,"Approximately 415,000 in the wild",Loxodonta africana,Shoulder height is 11 feet,6 tons,19-24 feet,"Tropical and Subtropical Moist Broadleaf Forests, Flooded Grasslands and Savannahs, Miombo woodlands, Acacia savannahs","African elephants are the largest animals walking the Earth. Their herds wander through 37 countries in Africa. They are easily recognized by their trunk that is used for communication and handling objects. And their large ears allow them to radiate excess heat. Upper incisor teeth develop into tusks in African elephants and grow throughout their lifetime. There are two species of African elephants—the savanna (or bush) elephant and the forest elephant. Savanna elephants are larger than forest elephants, and their tusks curve outwards. In addition to being smaller, forest elephants are darker and their tusks are straighter and point downward. There are also differences in the size and shape of the skull and skeleton between the two species.Forest elephants are uniquely adapted to the dense forest habitat of the Congo Basin, but are in sharp decline due to poaching for the international ivory trade and habitat loss and fragmentation. It is estimated that probably one-quarter to one-third of the total African elephant population is made up of forest elephants.",https://files.worldwildlife.org/wwfcmsprod/images/African_Elephant_7.27.2012_hero_and_circle_HI_53941.jpg/hero_small/37c9k1643y_African_Elephant_7.27.2012_hero_and_circle_HI_53941.jpg,"Numbering three to five million in the last century, African elephant populations were severely reduced to its current levels because of hunting. In the 1980s, an estimated 100,000 elephants were killed each year and up to 80% of herds were lost in some regions. In recent years, growing demand for ivory, particularly from Asia, has led to a surge in poaching. Populations of elephants—especially in southern and eastern Africa—that once showed promising signs of recovery could be at risk due to the recent surge in poaching for the illegal ivory trade."
African forest elephant,Critically Endangered,,,8-10 feet,2-5 tons,,dense tropical forests,"African forest elephants are the elusive cousin of the African savanna elephant. They inhabit the dense rainforests of west and central Africa. Their preference for dense forest habitat prohibits traditional counting methods such as visual identification. Their population is usually estimated through ""dung counts""—an analysis on the ground of the density and distribution of the feces.African forest elephants are smaller than African savanna elephants, the other African elephant species. Their ears are more oval-shaped and their tusks are straighter and point downward (the tusks of savanna elephants curve outwards). There are also differences in the size and shape of the skull and skeleton. Forest elephants also have a much slower reproductive rate than savanna elephants, so they cannot bounce back from population declines as quickly at the same rate. Their last strongholds are located in Gabon and the Republic of Congo, with smaller populations remaining in other African countries (Cameroon, Central African Republic, Equatorial Guinea) and Côte d'Ivoire, Liberia, and Ghana in west Africa.African forest elephants live in family groups of up to 20 individuals and forage on leaves, grasses, seeds, fruit, and tree bark. Since the diet of forest elephants is dominated by fruit, they play a crucial role in dispersing many tree species, particularly the seeds of large trees which tend to have high carbon content. They are therefore referred to as the 'mega-gardener of the forest'. To supplement their diet with minerals, they gather at mineral-rich waterholes and mineral licks found throughout the forest.",https://files.worldwildlife.org/wwfcmsprod/images/forest_elephant_WW139203/hero_small/5rwvqrm1jx_Medium_WW139203.jpg,"Both African elephant species are threatened foremost by habitat loss and habitat fragmentation due to conversion of forests for agriculture, livestock farming, and human infrastructure. As a result, human-elephant conflict has increased. Poaching for ivory is the most immediate threat for African forest elephants. Their populations declined by 62% between 2002 and 2011 and during that period, the species also lost 30% of its geographical range. As this downward trend continues, the African forest elephant was declared Critically Endangered by the IUCN in 2021."
African savanna elephant,Endangered,,Loxodonta africana africana,10-13 feet,4-7 tons,,All of sub-Saharan Africa except for Central Africa’s dense tropical forest,"African savanna elephants are the largest species of elephant and the biggest terrestrial animal on Earth. They are easily distinguished by their very large ears—which allow them to radiate excess heat—and front legs which are noticeably longer than the hind legs. African savanna elephants are found in 23 countries and live in a variety of habitats, from open and wooded savannas to even some deserts and forests. The largest populations are in Southern and Eastern African countries, including Botswana, Zimbabwe, Tanzania, Kenya, Namibia, Zambia, and South Africa.As a result of their visibility within the open areas where they live, African savanna elephants are well studied and populations are easily estimated. Each family unit usually consists of around 10 females and their calves, and the bulls associate with these herds only during mating. Several family units often join together to form a “clan” consisting of up to several hundred members led by a female matriarch. Due to their habitat, savanna elephants are often found grazing on grasses, but they also browse on a wide variety of plants and fruits. This selection varies depending on the time of year; during the rainy season the elephant will feed more on grass than during the dry season.",https://files.worldwildlife.org/wwfcmsprod/images/African_Savanna_Elephant_07.30.2012_Hero/hero_small/fzatpwdrr_HI_17486.jpg,"Savanna elephants contribute to the maintenance of the savannas and open woodlands by reducing tree densities. Without them, many other plants and animals would not survive in the woodland areas."
African Wild Dog,Endangered,"1,409",Lycaon pictus,30 inches,40-70 pounds,30-56 inches,"Deserts, Forests, Grasslands","The wild dog is one of the world’s most endangered mammals. The largest populations remain in southern Africa and the southern part of East Africa (especially Tanzania and northern Mozambique).Wild dogs are social and gather in packs of around ten individuals, but some packs number more than 40. They are opportunistic predators that hunt medium-sized ruminants, such as gazelles. In a sprint, African wild dogs can reach speeds of more than 44 miles per hour.",https://files.worldwildlife.org/wwfcmsprod/images/African_wild_dogs_magazine_HERO__winter_2013/hero_small/374cozwovs_wild_dogs_web.jpg,"Major threats to the survival of wild dogs include accidental and targeted killings by humans, viral diseases like rabies and distemper, habitat loss and competition with larger predators like lions. Conflicts occur when wild dogs come in contact with people whose livelihoods rest largely on livestock and agriculture. Problems arise when expanding human activities decrease the habitat for available prey for wild dogs."
Albacore Tuna,Near Threatened,,Thunnus alalunga,,80 pounds,up to 4 feet long,Ocean,"Albacore is one of the smaller tuna species, reaching sizes between skipjack and yellowfin. They are bullet-shaped with a dark blue back and lighter blue-gray sides and belly. Albacore tuna also have very long pectoral fins and live for around 12 years. They tend to travel in single species schools, without the level of mixing as seen in other species and migrate throughout all ocean waters and the Mediterranean.",https://files.worldwildlife.org/wwfcmsprod/images/tuna_102948248.jpg/carousel_small/xcyuoz0ex_tuna_102948248.jpg,"According to information collected by the ISSF Scientific Advisory Committee, the northern and southern Atlantic Ocean stocks of albacore are overfished."
Amazon River Dolphin,,,Scientific Name Inia geoffrensis,,Up to 352 pounds,Up to 9.2 feet,Rivers and Lakes,"The Amazon river dolphin, also known as the pink river dolphin or boto, lives only in freshwater. It is found throughout much of the Amazon and Orinoco river basins in Bolivia, Brazil, Colombia, Ecuador, Guyana, Peru, and Venezuela. It is a relatively abundant freshwater cetacean with an estimated population in the tens of thousands. However, it is classified as vulnerable in certain areas due to dams that fragment and threaten certain populations, and from other threats such as contamination of rivers and lakes.",https://files.worldwildlife.org/wwfcmsprod/images/Amazon_River_Dolphin_7.25.2012_Circle_and_Hero_XL_257657.jpg/hero_small/5lm3mawubh_Amazon_River_Dolphin_7.25.2012_Circle_and_Hero_XL_257657.jpg,
Amur Leopard,Critically Endangered,More than 84 individuals,Panthera pardus orientalis,,70 -105 pounds,,"Temperate, Broadleaf, and Mixed Forests","People usually think of leopards in the savannas of Africa but in the Russian Far East, a rare subspecies has adapted to life in the temperate forests that make up the northern-most part of the species’ range. Similar to other leopards, the Amur leopard can run at speeds of up to 37 miles per hour. This incredible animal has been reported to leap more than 19 feet horizontally and up to 10 feet vertically.The Amur leopard is solitary. Nimble-footed and strong, it carries and hides unfinished kills so that they are not taken by other predators. It has been reported that some males stay with females after mating, and may even help with rearing the young. Several males sometimes follow and fight over a female. They live for 10-15 years, and in captivity up to 20 years. The Amur leopard is also known as the Far East leopard, the Manchurian leopard or the Korean leopard.",https://files.worldwildlife.org/wwfcmsprod/images/Amur_Leopard_/hero_small/k6vvkt4tj_amur_leopard_99144569.jpg,
Arctic Fox,Least Concern,Several hundred thousand,Vulpes lagopus,11 inches,3 to 20 pounds,18 to 27 inches,Tundra,"The Arctic fox is primarily a carnivore that lives inland, away from the coasts. They are dependent on the presence of smaller animals (most often lemmings) to survive.  Arctic foxes also hunt for sea birds, fish, and other marine life. Smaller rodent populations waver between times of abundance and scarcity, which leaves the Arctic fox vulnerable when these creatures are low in numbers.",https://files.worldwildlife.org/wwfcmsprod/images/Arctic_Fox/hero_small/1tsx49vxu2_shutterstock_103864847.jpg,The scarcity of prey is the most prevalent threat for the Arctic fox. Disease and genetic pollution of the species by foxes bred in captivity also threatens this species.
Arctic Wolf,Least Concern,,Canis lupus arctos,,70 to 175 pounds,3.2 to 5.9 feet,Tundra,"Often called the ""polar wolf"" or ""white wolf,"" Arctic wolves inhabit the Arctic regions of North America and Greenland. Thanks to its isolation, the Arctic wolf is not threatened by hunting and habitat destruction in the same way as its southern relatives.    ",https://files.worldwildlife.org/wwfcmsprod/images/Arctic_Wolf/hero_small/3c68fid5qo_shutterstock_78609682.jpg,
Asian Elephant,Endangered,"Fewer than 50,000",Elephas maximus indicus,6.5–11.5 feet,"Around 11,000 pounds",Around 21 feet,Forests,"The Asian elephant is the largest land mammal on the Asian continent. They inhabit dry to wet forest and grassland habitats in 13 range countries spanning South and Southeast Asia. While they have preferred forage plants, Asian elephants have adapted to surviving on resources that vary based on the area.Asian elephants are extremely sociable, forming groups of six to seven related females that are led by the oldest female, the matriarch. Like African elephants, these groups occasionally join others to form larger herds, although these associations are relatively short-lived. In Asia, elephant herd sizes are significantly smaller than those of savannah elephants in Africa.More than two-thirds of an elephant's day may be spent feeding on grasses, but it also eats large amounts of tree bark, roots, leaves, and small stems. Cultivated crops such as bananas, rice, and sugarcane are favorite foods. Elephants are always close to a source of fresh water because they need to drink at least once a day.In Asia, humans have had close associations with elephants over many centuries, and elephants have become important cultural icons. According to Hindu mythology, the gods (deva) and the demons (asura) churned the oceans in a search for the elixir of life so that they would become immortal. As they did so, nine jewels surfaced, one of which was the elephant. In Hinduism, the powerful deity honored before all sacred rituals is the elephant-headed Lord Ganesha, who is also called the Remover of Obstacles.",https://files.worldwildlife.org/wwfcmsprod/images/asian_elephants_kui_buri_thailand/hero_small/3brsv7voo0_Asian_elephant_Kuiburi_Thailand.jpg,
